paradigm,architecture,race,coarse_top1,coarse_top5,exact_direct_top1,macro_f1_direct,kappa_direct,time_s,communication_mib,scope
Centralized,GRU,Prot,0.5117,0.9360,0.4386,0.0807,0.3025,636,0,per-race
Centralized,LSTM,Prot,0.5098,0.9359,0.4399,0.0831,0.3050,18474,0,per-race
Centralized,Transformer,Prot,0.5065,0.9340,0.4390,0.0817,0.3029,6984,0,per-race
Centralized,GRU,Terr,0.5101,0.9850,0.3618,0.0252,0.1774,1804,0,per-race
Centralized,LSTM,Terr,0.5493,0.9878,0.4100,0.1065,0.2652,7199,0,per-race
Centralized,Transformer,Terr,0.5461,0.9873,0.4082,0.1088,0.2617,11048,0,per-race
Centralized,GRU,Zerg,0.2589,0.9701,0.4025,0.0237,0.2488,731,0,per-race
Centralized,LSTM,Zerg,0.3476,0.9757,0.4334,0.0702,0.2988,3422,0,per-race
Centralized,Transformer,Zerg,0.3406,0.9755,0.4306,0.0773,0.2957,1979,0,per-race
FedAvg,GRU,Prot,0.4988,0.9125,0.3692,0.0122,0.1894,3038,12139,per-race
FedAvg,LSTM,Prot,0.4718,0.9101,0.3514,0.0113,0.1715,13296,14649,per-race
FedAvg,Transformer,Prot,0.4960,0.9120,0.3869,0.0187,0.2164,3124,22178,per-race
FedAvg,GRU,Terr,0.5073,0.9852,0.3417,0.0095,0.1315,3595,11175,per-race
FedAvg,LSTM,Terr,0.5013,0.9833,0.3376,0.0088,0.1217,4238,13685,per-race
FedAvg,Transformer,Terr,0.5088,0.9841,0.3471,0.0107,0.1399,3532,21214,per-race
FedAvg,GRU,Zerg,0.1191,0.9636,0.3855,0.0111,0.2189,2425,11497,per-race
FedAvg,LSTM,Zerg,0.0986,0.9601,0.3799,0.0108,0.2115,2224,14007,per-race
FedAvg,Transformer,Zerg,0.1631,0.9651,0.3909,0.0113,0.2282,2303,21536,per-race
FedProx,GRU,Prot,0.4933,0.9126,0.3698,0.0129,0.1937,10859,12139,per-race
FedProx,LSTM,Prot,0.4697,0.9102,0.3534,0.0114,0.1761,2944,14649,per-race
FedProx,Transformer,Prot,0.4951,0.9057,0.3868,0.0187,0.2136,1584,22178,per-race
FedProx,GRU,Terr,0.5077,0.9846,0.3420,0.0094,0.1317,3653,11175,per-race
FedProx,LSTM,Terr,0.5048,0.9826,0.3398,0.0090,0.1288,4427,13685,per-race
FedProx,Transformer,Terr,0.5114,0.9850,0.3470,0.0104,0.1412,6501,21214,per-race
FedProx,GRU,Zerg,0.1314,0.9631,0.3855,0.0110,0.2191,2425,11497,per-race
FedProx,LSTM,Zerg,0.1239,0.9601,0.3784,0.0108,0.2117,4090,14007,per-race
FedProx,Transformer,Zerg,0.1585,0.9649,0.3904,0.0113,0.2271,12005,21536,per-race
Backbone-Head,GRU,All,0.4681,0.9091,0.3402,,0.1207,16499,23020,combined-all-races
Backbone-Head,LSTM,All,0.4699,0.9088,0.3407,,0.1037,80045,30549,combined-all-races
Backbone-Head,Transformer,All,0.4777,0.9094,0.3467,,0.1242,167116,53137,combined-all-races
